ORGANISATION NAME,EFEFCTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,COMMUNITY CARE LINE SERVICES,04-Apr-25,687.65 ,HOME CARE - ADULT SERVICES,V002398488
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,COTTAGE HOMECARE SERVICES,04-Apr-25,788.31 ,HOME CARE - ADULT SERVICES,V002398489
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,HOMECARE FOR YOU LTD,04-Apr-25,813.64 ,HOME CARE - ADULT SERVICES,V002398490
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,PREMIER CARE LTD,04-Apr-25,"1,014.28 ",HOME CARE - ADULT SERVICES,V002398491
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,BLUE PITS HOUSING ACTION,04-Apr-25,"2,229.88 ",HOME CARE - ADULT SERVICES,V002398492
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,HOMECARE FOR YOU LTD,04-Apr-25,642.41 ,HOME CARE - ADULT SERVICES,V002398493
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CALDERDALE HOMECARE LTD,04-Apr-25,91.16 ,HOME CARE - ADULT SERVICES,V002398494
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,POSSABILITIES CIC TRADING,04-Apr-25,361.92 ,HOME CARE - ADULT SERVICES,V002398495
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CALDERDALE HOMECARE LTD,04-Apr-25,"1,180.76 ",HOME CARE - ADULT SERVICES,V002398496
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,POSSABILITIES CIC TRADING,04-Apr-25,135.72 ,HOME CARE - ADULT SERVICES,V002398497
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,COTTAGE HOMECARE SERVICES,04-Apr-25,"2,002.32 ",HOME CARE - ADULT SERVICES,V002398498
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,COMMUNITY CARE LINE SERVICES,04-Apr-25,827.67 ,HOME CARE - ADULT SERVICES,V002398499
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,POSSABILITIES CIC TRADING,04-Apr-25,"1,085.76 ",ASSESSMENT HOME CARE - ADULT SERVICES,V002398500
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,COMMUNITY CARE LINE SERVICES,04-Apr-25,350.61 ,HOME CARE - ADULT SERVICES,V002398501
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,POSSABILITIES CIC TRADING,04-Apr-25,814.32 ,HOME CARE - ADULT SERVICES,V002398502
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CARE 4 U,04-Apr-25,"1,193.88 ",HOME CARE - ADULT SERVICES,V002398503
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,THE RIVERSIDE GROUP  LTD,04-Apr-25,395.00 ,EXTRA CARE HOUSING EXPENDITURE,V002398504
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,THE RIVERSIDE GROUP  LTD,04-Apr-25,790.00 ,EXTRA CARE HOUSING EXPENDITURE,V002398505
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,THE RIVERSIDE GROUP  LTD,04-Apr-25,163.32 ,EXTRA CARE HOUSING EXPENDITURE,V002398506
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CALDERDALE HOMECARE LTD,04-Apr-25,688.78 ,HOME CARE - ADULT SERVICES,V002398507
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,PREMIER CARE LTD,04-Apr-25,"1,585.44 ",HOME CARE - ADULT SERVICES,V002398508
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,COMFORT CALL LTD,04-Apr-25,472.76 ,HOME CARE - ADULT SERVICES,V002398509
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CARE 4 U,04-Apr-25,271.44 ,HOME CARE - ADULT SERVICES,V002398510
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CALDERDALE HOMECARE LTD,04-Apr-25,781.52 ,HOME CARE - ADULT SERVICES,V002398511
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CHERISH UK LTD,04-Apr-25,641.96 ,HOME CARE - ADULT SERVICES,V002398512
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,NEWBARN LTD,04-Apr-25,542.88 ,HOME CARE - ADULT SERVICES,V002398513
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,THE RIVERSIDE GROUP  LTD,04-Apr-25,276.50 ,EXTRA CARE HOUSING EXPENDITURE,V002398514
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,THE RIVERSIDE GROUP  LTD,04-Apr-25,553.00 ,EXTRA CARE HOUSING EXPENDITURE,V002398515
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,THE RIVERSIDE GROUP  LTD,04-Apr-25,163.32 ,EXTRA CARE HOUSING EXPENDITURE,V002398516
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,THE RIVERSIDE GROUP  LTD,04-Apr-25,592.50 ,EXTRA CARE HOUSING EXPENDITURE,V002398517
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,THE RIVERSIDE GROUP  LTD,04-Apr-25,"1,185.00 ",EXTRA CARE HOUSING EXPENDITURE,V002398518
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,THE RIVERSIDE GROUP  LTD,04-Apr-25,163.32 ,EXTRA CARE HOUSING EXPENDITURE,V002398519
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,COMMUNITY CARE LINE SERVICES,04-Apr-25,407.16 ,HOME CARE - ADULT SERVICES,V002398520
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,COMMUNITY CARE LINE SERVICES,04-Apr-25,"2,853.97 ",HOME CARE - ADULT SERVICES,V002398521
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CALDERDALE HOMECARE LTD,04-Apr-25,75.32 ,HOME CARE - ADULT SERVICES,V002398522
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CALDERDALE HOMECARE LTD,04-Apr-25,995.05 ,HOME CARE - ADULT SERVICES,V002398523
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,HOMECARE FOR YOU LTD,04-Apr-25,394.49 ,HOME CARE - ADULT SERVICES,V002398524
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,COMFORT CALL LTD,04-Apr-25,316.68 ,HOME CARE - ADULT SERVICES,V002398525
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CHERISH UK LTD,04-Apr-25,126.22 ,HOME CARE - ADULT SERVICES,V002398526
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,COMFORT CALL LTD,04-Apr-25,"2,263.81 ",HOME CARE - ADULT SERVICES,V002398527
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,COMMUNITY CARE LINE SERVICES,04-Apr-25,"1,171.72 ",HOME CARE - ADULT SERVICES,V002398528
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CALDERDALE HOMECARE LTD,04-Apr-25,634.26 ,HOME CARE - ADULT SERVICES,V002398529
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,HOMECARE FOR YOU LTD,04-Apr-25,286.60 ,HOME CARE - ADULT SERVICES,V002398530
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CALDERDALE HOMECARE LTD,04-Apr-25,"2,832.70 ",HOME CARE - ADULT SERVICES,V002398531
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,NEWBARN LTD,04-Apr-25,678.60 ,HOME CARE - ADULT SERVICES,V002398532
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,HOMECARE FOR YOU LTD,04-Apr-25,689.68 ,HOME CARE - ADULT SERVICES,V002398533
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,NEWBARN LTD,04-Apr-25,361.92 ,HOME CARE - ADULT SERVICES,V002398534
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CALDERDALE HOMECARE LTD,04-Apr-25,879.92 ,HOME CARE - ADULT SERVICES,V002398535
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CALDERDALE HOMECARE LTD,04-Apr-25,957.96 ,HOME CARE - ADULT SERVICES,V002398536
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,POSSABILITIES CIC TRADING,04-Apr-25,339.30 ,HOME CARE - ADULT SERVICES,V002398537
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CALDERDALE HOMECARE LTD,04-Apr-25,"1,043.91 ",HOME CARE - ADULT SERVICES,V002398538
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,COMFORT CALL LTD,04-Apr-25,622.50 ,HOME CARE - ADULT SERVICES,V002398539
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,THE RIVERSIDE GROUP  LTD,04-Apr-25,39.50 ,EXTRA CARE HOUSING EXPENDITURE,V002398540
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,THE RIVERSIDE GROUP  LTD,04-Apr-25,79.00 ,EXTRA CARE HOUSING EXPENDITURE,V002398541
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,THE RIVERSIDE GROUP  LTD,04-Apr-25,163.32 ,EXTRA CARE HOUSING EXPENDITURE,V002398542
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CALDERDALE HOMECARE LTD,04-Apr-25,125.54 ,HOME CARE - ADULT SERVICES,V002398543
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CHERISH UK LTD,04-Apr-25,311.25 ,HOME CARE - ADULT SERVICES,V002398544
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CHERISH UK LTD,04-Apr-25,"1,536.80 ",HOME CARE - ADULT SERVICES,V002398545
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,HOMECARE FOR YOU LTD,04-Apr-25,319.62 ,HOME CARE - ADULT SERVICES,V002398546
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,COMMUNITY CARE LINE SERVICES,04-Apr-25,976.05 ,HOME CARE - ADULT SERVICES,V002398547
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CHERISH UK LTD,04-Apr-25,"2,321.94 ",HOME CARE - ADULT SERVICES,V002398548
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,COMFORT CALL LTD,04-Apr-25,984.65 ,HOME CARE - ADULT SERVICES,V002398549
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,COMFORT CALL LTD,04-Apr-25,"1,408.77 ",HOME CARE - ADULT SERVICES,V002398550
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,SHABACH HEALTHCARE LTD,04-Apr-25,796.22 ,HOME CARE - ADULT SERVICES,V002398551
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,HOMECARE FOR YOU LTD,04-Apr-25,893.72 ,HOME CARE - ADULT SERVICES,V002398552
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,COMMUNITY CARE LINE SERVICES,04-Apr-25,492.89 ,HOME CARE - ADULT SERVICES,V002398553
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,COMMUNITY CARE LINE SERVICES,04-Apr-25,325.73 ,HOME CARE - ADULT SERVICES,V002398554
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,DALE CARE AND SUPPORT LTD,04-Apr-25,68.31 ,HOME CARE - ADULT SERVICES,V002398555
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CALDERDALE HOMECARE LTD,04-Apr-25,497.19 ,HOME CARE - ADULT SERVICES,V002398556
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,DALE CARE AND SUPPORT LTD,04-Apr-25,115.81 ,HOME CARE - ADULT SERVICES,V002398557
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,COTTAGE HOMECARE SERVICES,04-Apr-25,425.26 ,HOME CARE - ADULT SERVICES,V002398558
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,WILLOWBROOK HYNDBURN LTD,04-Apr-25,447.14 ,EXTRA CARE HOUSING EXPENDITURE,V002398559
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,COTTAGE HOMECARE SERVICES,04-Apr-25,412.82 ,HOME CARE - ADULT SERVICES,V002398560
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CALDERDALE HOMECARE LTD,04-Apr-25,326.86 ,HOME CARE - ADULT SERVICES,V002398561
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,ACRE HOMECARE LTD,04-Apr-25,679.73 ,HOME CARE - ADULT SERVICES,V002398562
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,SHABACH HEALTHCARE LTD,04-Apr-25,"3,010.72 ",HOME CARE - ADULT SERVICES,V002398563
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,DALE CARE AND SUPPORT LTD,04-Apr-25,655.53 ,HOME CARE - ADULT SERVICES,V002398564
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,DALE CARE AND SUPPORT LTD,04-Apr-25,"2,516.48 ",HOME CARE - ADULT SERVICES,V002398565
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,ACRE HOMECARE LTD,04-Apr-25,295.19 ,HOME CARE - ADULT SERVICES,V002398566
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,HOMECARE FOR YOU LTD,04-Apr-25,784.46 ,HOME CARE - ADULT SERVICES,V002398567
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,THE RIVERSIDE GROUP  LTD,04-Apr-25,163.32 ,EXTRA CARE HOUSING EXPENDITURE,V002398568
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,COMFORT CALL LTD,04-Apr-25,495.15 ,HOME CARE - ADULT SERVICES,V002398569
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,COMFORT CALL LTD,04-Apr-25,"1,198.86 ",HOME CARE - ADULT SERVICES,V002398570
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CALDERDALE HOMECARE LTD,04-Apr-25,464.16 ,HOME CARE - ADULT SERVICES,V002398571
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,COMFORT CALL LTD,04-Apr-25,930.59 ,HOME CARE - ADULT SERVICES,V002398572
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,POSSABILITIES CIC TRADING,04-Apr-25,67.86 ,HOME CARE - ADULT SERVICES,V002398573
